tempo_arduino_us,tempo_relogio_pc,contador,ax,ay,az,gx,gy,gz
10691732.0,366148.6788444,150.0,1.0,-0.01,-0.04,-3.54,0.12,-0.3
10696384.0,366148.7329145,151.0,1.0,-0.0,-0.04,-3.6,0.0,-0.49
10700988.0,366148.7859731,152.0,1.0,-0.01,-0.04,-3.72,0.3,-0.49
10705640.0,366148.8398228,153.0,1.0,-0.01,-0.04,-3.54,0.18,-0.37
10710312.0,366148.8935054,154.0,1.0,-0.01,-0.04,-3.6,0.06,-0.37
10714980.0,366148.9466828,155.0,1.0,-0.0,-0.05,-3.41,0.37,-0.37
10719652.0,366149.0505107,156.0,1.0,-0.0,-0.04,-3.48,0.12,-0.18
17382416.0,366149.1561372,1579.0,1.0,-0.01,-0.04,-3.48,0.49,-0.18
17387132.0,366149.2062951,1580.0,1.0,-0.0,-0.04,-3.54,0.12,0.0
17391808.0,366149.2628835,1581.0,1.0,-0.0,-0.04,-3.66,0.43,-0.3
17396520.0,366149.3201604,1582.0,1.0,-0.01,-0.04,-3.6,0.18,-0.67
17401244.0,366149.3221797,1583.0,1.0,-0.0,-0.04,-3.48,0.18,-0.43
17405972.0,366149.4283049,1584.0,1.0,-0.0,-0.04,-3.41,0.37,-0.24
17410692.0,366149.4797321,1585.0,1.0,-0.0,-0.04,-3.84,0.18,-0.3
17415408.0,366149.5370121,1586.0,1.0,-0.01,-0.04,-3.54,0.37,-0.43
17420136.0,366149.5953857,1587.0,1.0,-0.0,-0.04,-3.48,0.18,-0.18
17424848.0,366149.5974646,1588.0,1.0,-0.0,-0.04,-3.54,0.18,-0.18
17429576.0,366149.7062456,1589.0,1.0,-0.01,-0.05,-3.6,0.18,-0.37
17434300.0,366149.7578608,1590.0,1.0,-0.0,-0.04,-3.41,0.18,-0.49
17439012.0,366149.8163198,1591.0,1.0,-0.01,-0.05,-3.6,0.24,-0.37
17443736.0,366149.8694914,1592.0,1.0,-0.01,-0.05,-3.72,0.0,-0.49
17448416.0,366149.9261317,1593.0,1.01,-0.0,-0.04,-3.41,0.18,-0.3
17453144.0,366149.9810723,1594.0,1.0,-0.01,-0.04,-3.41,0.3,-0.3
17457872.0,366150.0372252,1595.0,1.0,-0.0,-0.04,-3.6,0.37,-0.37
17462584.0,366150.1191591,1596.0,1.0,-0.01,-0.04,-3.48,0.3,-0.06
17467292.0,366150.1508767,1597.0,1.0,-0.0,-0.04,-3.29,0.12,-0.3
17472004.0,366150.2089655,1598.0,1.0,-0.01,-0.04,-3.84,0.06,-0.43
17476720.0,366150.3187473,1599.0,1.0,-0.0,-0.04,-3.72,0.24,-0.55
17481432.0,366150.3718773,1600.0,1.0,-0.01,-0.04,-3.41,0.24,-0.37
17486156.0,366150.418951,1601.0,1.0,-0.01,-0.04,-3.78,0.24,-0.3
17490876.0,366150.4615957,1602.0,1.0,-0.01,-0.04,-3.72,0.0,-0.37
17495556.0,366150.5060214,1603.0,1.0,-0.0,-0.04,-3.29,0.06,-0.24
17500272.0,366150.5478388,1604.0,1.0,-0.01,-0.04,-3.41,0.12,0.06
17504984.0,366150.5941357,1605.0,1.0,-0.01,-0.04,-3.54,0.43,-0.3
17509704.0,366150.6791699,1606.0,1.0,-0.0,-0.04,-3.41,0.24,-0.49
17514416.0,366150.6867922,1607.0,1.0,-0.0,-0.04,-3.54,0.12,-0.18
17519128.0,366150.7301591,1608.0,1.0,-0.0,-0.04,-3.48,0.06,-0.43
17523844.0,366150.7754296,1609.0,1.0,-0.0,-0.04,-3.54,0.12,-0.3
17528540.0,366150.8226681,1610.0,1.01,-0.0,-0.04,-3.48,0.0,-0.24
17533216.0,366150.8421364,1611.0,1.0,-0.0,-0.04,-3.6,0.06,-0.3
17537904.0,366150.8737183,1612.0,1.01,-0.0,-0.04,-3.48,-0.06,-0.49
17542628.0,366150.919292,1613.0,1.0,-0.0,-0.04,-3.54,0.12,-0.55
17547352.0,366150.9669118,1614.0,1.0,-0.0,-0.04,-3.41,0.0,-0.49
17552024.0,366150.9865208,1615.0,1.0,-0.0,-0.04,-3.6,0.0,-0.37
17556700.0,366151.0181238,1616.0,1.0,-0.01,-0.04,-3.66,0.12,-0.24
17561424.0,366151.063396,1617.0,1.0,-0.0,-0.05,-3.54,0.37,-0.12
17566148.0,366151.1109807,1618.0,1.0,-0.0,-0.05,-3.72,0.37,-0.3
17570876.0,366151.158384,1619.0,1.0,-0.01,-0.04,-3.96,0.3,-0.55
17575584.0,366151.162499,1620.0,1.0,-0.0,-0.04,-3.6,0.3,-0.3
17580288.0,366151.2096056,1621.0,1.0,-0.0,-0.04,-3.66,0.0,-0.24
17584956.0,366151.255442,1622.0,1.0,-0.01,-0.04,-3.35,0.18,-0.37
17589692.0,366151.3038738,1623.0,1.0,-0.0,-0.04,-3.54,0.24,-0.24
17594408.0,366151.3086907,1624.0,1.0,-0.0,-0.04,-3.6,0.12,-0.49
17599108.0,366151.3560162,1625.0,1.0,-0.01,-0.04,-3.54,0.37,-0.3
17603840.0,366151.4042974,1626.0,1.0,-0.01,-0.04,-3.6,0.06,-0.67
17608552.0,366151.4468409,1627.0,1.0,-0.0,-0.04,-3.54,0.18,-0.3
17613260.0,366151.4932128,1628.0,1.0,-0.01,-0.04,-3.66,0.37,-0.06
17617992.0,366151.5369219,1629.0,1.0,-0.0,-0.04,-3.6,0.18,-0.3
17622684.0,366151.5831853,1630.0,1.0,-0.01,-0.04,-3.6,0.3,-0.12
17627400.0,366151.6309165,1631.0,1.0,-0.01,-0.04,-3.72,-0.12,-0.37
17632144.0,366151.6774713,1632.0,1.0,-0.0,-0.04,-3.66,0.12,-0.43
17636868.0,366151.7225496,1633.0,1.0,-0.01,-0.04,-3.6,0.06,-0.24
17641584.0,366151.7714354,1634.0,1.0,-0.0,-0.04,-3.72,0.49,-0.06
17646276.0,366151.8150282,1635.0,1.0,-0.0,-0.04,-3.41,0.43,-0.3
17650984.0,366151.8620342,1636.0,1.0,-0.01,-0.04,-3.23,0.3,-0.12
17655708.0,366151.9061578,1637.0,1.0,-0.0,-0.04,-3.9,0.24,-0.55
17660416.0,366151.9529857,1638.0,1.0,-0.0,-0.05,-3.54,0.12,-0.67
17665156.0,366152.042483,1639.0,1.01,-0.01,-0.04,-3.54,0.12,-0.18
17669888.0,366152.0842554,1640.0,1.0,-0.0,-0.04,-3.6,0.06,-0.18
17674588.0,366152.1344989,1641.0,1.0,-0.01,-0.04,-3.48,0.06,-0.3
17679296.0,366152.1762156,1642.0,1.0,-0.01,-0.05,-3.29,-0.06,-0.37
17684020.0,366152.2269111,1643.0,1.0,-0.0,-0.04,-3.6,0.06,-0.43
17688736.0,366152.4091733,1644.0,1.0,-0.0,-0.05,-3.84,0.3,-0.24
17693436.0,366152.4978457,1645.0,1.0,-0.01,-0.04,-3.35,0.3,-0.3
17698144.0,366152.5475114,1646.0,1.0,-0.01,-0.03,-3.6,0.3,-0.3
17702856.0,366152.589624,1647.0,1.0,-0.01,-0.05,-3.54,0.18,-0.24
17707580.0,366152.6383035,1648.0,1.0,-0.0,-0.05,-3.66,-0.12,-0.3
17712308.0,366152.683165,1649.0,1.0,-0.0,-0.04,-3.66,0.12,-0.24
17717020.0,366152.7307867,1650.0,1.0,-0.01,-0.04,-3.66,0.18,-0.3
17721744.0,366152.7762248,1651.0,1.0,-0.0,-0.04,-3.78,0.12,-0.3
17726452.0,366152.8220151,1652.0,1.0,-0.0,-0.05,-3.84,0.37,-0.18
17731176.0,366152.9095833,1653.0,1.0,-0.01,-0.04,-3.54,0.12,-0.24
17735908.0,366152.911616,1654.0,1.0,-0.0,-0.04,-3.66,0.24,-0.37
17740616.0,366153.0002522,1655.0,1.0,-0.0,-0.04,-3.54,0.12,-0.3
17745328.0,366153.0490375,1656.0,1.01,-0.01,-0.04,-3.54,0.12,-0.37
17750080.0,366153.0528604,1657.0,1.0,-0.0,-0.04,-3.48,-0.18,-0.37
17754804.0,366153.0997417,1658.0,1.0,-0.0,-0.05,-3.48,0.12,-0.18
17759528.0,366153.146146,1659.0,1.0,-0.0,-0.04,-3.72,0.24,-0.18
17764240.0,366153.1949598,1660.0,1.0,-0.01,-0.04,-3.66,0.18,-0.12
17768964.0,366153.2423073,1661.0,1.0,-0.01,-0.05,-3.23,-0.06,-0.3
17773692.0,366153.2925263,1662.0,1.0,-0.0,-0.05,-3.54,0.3,-0.24
17778404.0,366153.3354517,1663.0,1.0,-0.01,-0.04,-3.48,0.43,-0.37
17783136.0,366153.384127,1664.0,1.0,-0.01,-0.04,-3.54,0.0,-0.37
17787816.0,366153.4337495,1665.0,1.0,-0.01,-0.04,-3.66,0.18,-0.37
17792548.0,366153.4828853,1666.0,1.0,-0.0,-0.04,-3.54,0.06,-0.18
17797264.0,366153.4849019,1667.0,1.0,-0.0,-0.04,-3.66,0.06,-0.37
17801964.0,366153.575228,1668.0,1.0,-0.0,-0.04,-3.41,0.37,-0.55
17806688.0,366153.6244757,1669.0,1.0,-0.01,-0.04,-3.48,0.24,-0.43
17811420.0,366153.6284287,1670.0,1.0,-0.01,-0.04,-3.66,0.06,-0.37
17816144.0,366153.6770228,1671.0,1.0,-0.01,-0.04,-3.54,-0.12,-0.3
17820884.0,366153.7684159,1672.0,1.0,-0.0,-0.04,-3.72,0.37,-0.37
17825596.0,366153.7723204,1673.0,1.0,-0.0,-0.04,-3.6,0.24,-0.49
17830304.0,366153.8203948,1674.0,1.0,-0.01,-0.04,-3.72,0.0,-0.43
17834980.0,366153.9115656,1675.0,1.0,-0.01,-0.04,-3.54,0.12,-0.3
17839704.0,366153.9160687,1676.0,1.0,-0.01,-0.04,-3.48,0.37,-0.18
17844436.0,366153.9639951,1677.0,1.0,-0.01,-0.04,-3.54,0.06,-0.3
17849144.0,366154.0141516,1678.0,1.0,-0.0,-0.04,-3.66,0.12,-0.12
17853868.0,366154.0606371,1679.0,1.0,-0.01,-0.05,-3.41,0.0,-0.37
17858548.0,366154.1085901,1680.0,1.0,-0.01,-0.04,-3.72,0.06,-0.12
17863272.0,366154.1548489,1681.0,1.0,-0.01,-0.04,-3.54,0.12,-0.3
17868000.0,366154.2038843,1682.0,1.0,-0.0,-0.04,-3.41,0.12,-0.06
17872712.0,366154.2538139,1683.0,1.0,-0.01,-0.04,-3.54,0.12,-0.3
